RENGLÓN|CÓDIGO DE INSUMO|NOMBRE|CARACTERÍSTICAS|NOMBRE DE LA PRESENTACIÓN|CANTIDAD Y UNIDAD DE MEDIDA DE LA PRESENTACIÓN|CÓDIGO DE PRESENTACIÓN
266|7|ACETAMINOFÉN (PARACETAMOL)| Concentración: 125mg/5ml;  Forma farmacéutica: Jarabe;  Vía de administración: Oral; |Frasco|120 Mililitro|99
266|9|ACETAMINOFÉN (PARACETAMOL)| Concentración: 120mg/5ml;  Forma farmacéutica: Jarabe;  Vía de administración: Oral; |Frasco|120 Mililitro|28959
266|11|ACETAMINOFÉN (PARACETAMOL)|Concentración: 500mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|100 Unidad(es)|30187
266|11|ACETAMINOFÉN (PARACETAMOL)|Concentración: 500mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|103
266|27|ACICLOVIR| Concentración: 400mg;  Forma farmacéutica: Tableta;  Vía de administración: Oral; |Blíster|10 Unidad(es)|181372
266|27|ACICLOVIR| Concentración: 400mg;  Forma farmacéutica: Tableta;  Vía de administración: Oral; |Caja|30 Unidad(es)|150812
266|29|ACICLOVIR| Concentración: 200mg/5ml;  Forma farmacéutica: Suspensión;  Vía de administración: Oral; |Frasco|100 Mililitro|56504
266|29|ACICLOVIR| Concentración: 200mg/5ml;  Forma farmacéutica: Suspensión;  Vía de administración: Oral; |Frasco|125 Mililitro|121
266|32|ACICLOVIR|Concentración: 5% (5g/100g); Forma farmacéutica: Crema; Vía de administración: Tópico;|Tubo|10 Gramos|71839
266|39|ÁCIDO ASCÓRBICO (VITAMINA C)| Concentración: 500mg;  Forma farmacéutica: Tableta;  Vía de administración: Oral; |Empaque|30 Unidad(es)|172683
266|42|ÁCIDO FÓLICO|Concentración: 5mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|100 Unidad(es)|180415
266|46|ÁCIDO VALPROICO|Concentración: 500mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Empaque|30 Unidad(es)|177773
266|46|ÁCIDO VALPROICO|Concentración: 500mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|61931
266|61|ALBENDAZOL|Concentración: 200mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|29233
266|63|ALBENDAZOL|Concentración: 400mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|185677
266|63|ALBENDAZOL|Concentración: 400mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|155
261|69|ALCOHOL GEL|Vía de administración: Tópico;|Envase|450 Miligramos|161
261|69|ALCOHOL GEL|Vía de administración: Tópico;|Envase|460 Mililitro|69953
261|69|ALCOHOL GEL|Vía de administración: Tópico;|Envase|500 Mililitro|40215
266|83|ALOPURINOL| Concentración: 300mg;  Presentación: Tableta;  Vía de administración: Oral; |Blíster|10 Unidad(es)|95452
266|83|ALOPURINOL| Concentración: 300mg;  Presentación: Tableta;  Vía de administración: Oral; |Caja|30 Unidad(es)|192209
266|86|AMBROXOL|Concentración: 15mg/5ml; Forma farmacéutica: Solución jarabe; Vía de administración: Oral;|Frasco|120 Mililitro|178
266|136|AMOXICILINA + ÁCIDO CLAVULÁNICO|Concentración: 250-62.5mg/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Frasco|100 Mililitro|68237
266|136|AMOXICILINA + ÁCIDO CLAVULÁNICO|Concentración: 250-62.5mg/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Frasco|60 Mililitro|229
266|176|AZITROMICINA| Concentración: 500mg;  Forma farmacéutica: Tableta;  Vía de administración: Oral; |Caja|5 Unidad(es)|102133
266|176|AZITROMICINA| Concentración: 500mg;  Forma farmacéutica: Tableta;  Vía de administración: Oral; |Unidad|1 Unidad(es)|272
266|179|AZITROMICINA|Concentración: 200mg/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Frasco|15 Mililitro|10745
266|179|AZITROMICINA|Concentración: 200mg/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Unidad|1 Unidad(es)|275
266|190|BENZOATO DE BENCILO|Concentración: 25%; Forma farmacéutica: Loción; Vía de administración: Tópica;|Frasco|120 Mililitro|286
266|191|BENZOATO DE BENCILO|Concentración: 25%; Forma farmacéutica: Solución; Vía de administración: Tópica;|Frasco|120 Mililitro|287
266|207|BIPERIDENO CLORHIDRATO|Concentración: 2 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|50 Unidad(es)|183452
266|233|CALAMINA|Concentración: 5%; Forma farmacéutica: Solución; Vía de administración: Tópico;|Frasco|120 Mililitro|331
266|247|CARBAMAZEPINA|Concentración: 200 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|165896
266|247|CARBAMAZEPINA|Concentración: 200 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|20 Unidad(es)|166330
266|247|CARBAMAZEPINA|Concentración: 200 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|58286
266|254|CARBONATO DE LITIO|Concentración: 300 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|1 Unidad(es)|353
266|266|CEFADROXILO|Concentración: 250mg/5ml; Forma farmacéutica: Polvo para suspensión; Vía de administración: Oral;|Frasco|100 Mililitro|56486
